r	gmin	g	gmax	L	tmin	t	tmax	gamin	ga	gamax	kmin	k_mm	kmax	L_mm	Mmin	Ming	Mmax
  6.750000	  0.952586	  1.168045	  1.053651	  7.565987	  0.963533	  0.920579	  1.025971	216.565107	201.731951	277.786088	  0.886419	  0.945156	  1.090287	  6.983429	  0.941883	  0.815502  1.044977
  7.000000	  0.951748	  1.163732	  1.054065	  7.825063	  0.964020	  0.923269	  1.025556	216.697556	203.186596	277.696056	  0.886314	  0.949145	  1.091735	  7.248692	  0.943275	  0.819224  1.045817
  7.250000	  0.950770	  1.159675	  1.054483	  8.100857	  0.964879	  0.925706	  1.024930	217.214678	204.527091	277.876447	  0.886768	  0.951955	  1.093597	  7.522000	  0.944647	  0.822904  1.045702
  7.500000	  0.950086	  1.155572	  1.054347	  8.351818	  0.965567	  0.927927	  1.023907	217.873821	205.811799	278.012926	  0.887517	  0.953501	  1.096945	  7.760082	  0.945960	  0.826659  1.045250
  7.750000	  0.950340	  1.151047	  1.053868	  8.627554	  0.966393	  0.929742	  1.024607	218.554320	206.874043	277.849244	  0.888329	  0.954229	  1.100048	  8.075780	  0.946800	  0.829696  1.044722
  8.000000	  0.950839	  1.146106	  1.053936	  8.870725	  0.967504	  0.931457	  1.025522	219.341865	207.870680	277.268233	  0.889316	  0.954753	  1.103358	  8.330815	  0.947366	  0.832578  1.044027
  8.250000	  0.951471	  1.141425	  1.054536	  9.131676	  0.968764	  0.933102	  1.026577	220.233066	208.769469	276.930792	  0.890424	  0.954049	  1.106412	  8.624657	  0.947719	  0.835430  1.043423
  8.500000	  0.950892	  1.136506	  1.054885	  9.373791	  0.969885	  0.934794	  1.027665	221.283405	209.516070	276.601192	  0.891425	  0.952318	  1.108776	  8.884412	  0.949093	  0.838210  1.042603
  8.750000	  0.950656	  1.131535	  1.055263	  9.653975	  0.970441	  0.936488	  1.028637	222.498416	210.298058	277.041331	  0.892857	  0.951291	  1.109994	  9.169660	  0.951470	  0.841356  1.041314
  9.000000	  0.950872	  1.126480	  1.055258	  9.892003	  0.971034	  0.938061	  1.029313	222.275504	210.968394	277.355925	  0.894324	  0.950460	  1.110972	  9.392743	  0.954334	  0.844781  1.039412
