Treeno,Species,x,y,dbh,ht,vigour,status,type
103,Fd,10.29560591,11.33842888,14.7,10,1,live,plot
105,Fd,7.07025319,10.5593779,28.2,18.6,2,live,plot
106,Fd,6.354689887,13.6270237,34,24.5,2,live,plot
107,Fd,4.907806708,12.47831344,43.4,27.8,2,live,plot
108,Fd,2.833561922,12.09099381,3.7,4.5,2,live,plot
109,Fd,5.003072056,11.87621389,6.8,5.8,2,live,plot
110,Fd,1.748402785,11.51338434,2.4,2.3,1,live,plot
111,Fd,0.915932767,9.183364268,7.7,7.2,2,live,plot
112,Fd,0.967144478,6.164065513,2.3,2.3,1,live,plot
113,Fd,3.249214866,8.557028336,6.6,5.9,2,live,plot
114,Fd,4.157203185,8.238976048,1.7,2,1,live,plot
115,Fd,5.692712488,5.697343961,6.2,5.6,2,live,plot
116,Fd,5.588222378,8.108645155,1.9,2.5,1,live,plot
117,Fd,5.78783145,7.69312646,1.5,2.3,1,live,plot
118,Fd,5.112307071,8.599362869,2.2,2.6,1,live,plot
119,Fd,6.979243362,6.001550421,,,0,dead,plot
120,Fd,8.128853686,6.32926808,1.7,1.8,1,live,plot
121,Fd,8.203549117,8.720755835,2.3,2.6,2,live,plot
122,Fd,8.688728159,9.827915117,27.7,20.5,1,live,plot
123,Fd,9.651014025,5.336288059,,,,cut,plot
124,Fd,10.83414446,5.072561777,,,,cut,plot
125,Fd,12.06416296,6.538704564,7.4,7.8,3,live,plot
126,Fd,14.49930109,5.86010847,,,,cut,plot
127,Fd,14.98951265,6.446837566,1.7,2.4,2,live,plot
128,Fd,14.69914407,8.792189755,2.5,2.6,2,live,plot
129,Fd,15.81351408,7.413286629,3.6,3.3,3,live,plot
130,Fd,19.97288541,4.980548762,11.9,11.2,2,live,plot
131,Fd,19.83809824,6.764568812,7.3,5.8,2,live,plot
132,Fd,20.60635614,7.151196933,14.5,12.3,3,live,plot
133,Fd,22.03003811,7.009423346,,,,cut,plot
134,Fd,27.22738994,4.559263907,,,,cut,plot
135,Fd,27.51145419,4.894799807,1.7,2,1,live,plot
136,Fd,28.26423181,6.756472825,3.4,2.3,2,live,plot
137,Fd,30.81859372,4.495628048,4.2,3.7,3,live,plot
138,Fd,30.99034489,1.153265831,7.8,6.4,3,live,plot
139,Fd,28.73941867,4.164661656,8.3,7.4,3,live,plot
140,Fd,21.38536862,2.573979373,,,,cut,plot
141,Fd,19.00391902,5.351180698,,,,cut,plot
142,Fd,16.72814336,2.638225271,5.4,5.4,2,live,plot
143,Fd,14.06189106,1.949583844,,,,cut,plot
144,Fd,16.38951933,4.723824952,5.1,4.8,3,live,plot
145,Fd,15.02691407,4.6401011,4.3,4.4,3,live,plot
147,Fd,14.09198166,4.941599904,1.4,1.9,1,live,plot
148,Fd,13.85906731,3.466117203,,,0,dead,plot
149,Fd,12.9130955,0.89193045,5.8,5.2,2,live,plot
150,Fd,12.14980685,3.856027726,4.6,4.1,2,live,plot
151,Fd,8.708265602,1.248053721,7.2,6.1,3,live,plot
152,Fd,8.575480169,0.980905692,2.3,2.7,1,live,plot
153,Fd,6.61680386,4.465049061,2.5,2.9,1,live,plot
154,Fd,5.868439396,3.52651169,2.6,2.7,1,live,plot
155,Fd,4.140597756,3.723148566,4.3,3.6,2,live,plot
156,Fd,3.426917522,2.06364223,3,3.5,1,live,plot
157,Fd,2.416294438,5.339709687,5.5,5.8,2,live,plot
158,Fd,2.209263984,3.568372483,1.8,1.9,1,live,plot
159,Fd,0.280408337,4.52111266,40,28.9,2,live,plot
160,Fd,26.37739861,24.99669824,10.4,10.8,3,live,plot
161,Fd,15.7125493,10.10881919,3.2,3.9,2,live,plot
162,Fd,17.23922881,20.81141953,2.5,2.4,1,live,plot
163,Fd,8.816092202,13.40229103,3.4,3.3,3,live,plot
